aiddata_id,aiddata_2_id,year,donor,donor_iso,donor_region,implementing_agency,financing_agency,crs_bi_multi,recipient,recipient_iso,recipient_region,start_date,end_date,commitment_date,planned_start_date,planned_end_date,title,short_description,long_description,donor_project_id,donor_secondary_id,aiddata_sector_code,aiddata_sector_name,aiddata_purpose_code,aiddata_purpose_name,aiddata_activity_codes,aiddata_activity_names,flow_name,crs_sector_code,crs_sector_name,crs_purpose_code,crs_purpose_name,coalesced_purpose_code,coalesced_purpose_name,commitment_amount_usd_constant,total_project_cost,crs_trade,crs_climate,crs_biodiversity,crs_gender,crs_environment,crs_desertification,pdgg,channel_code,finance_t,associated_financing,future_ds_principal_amount_usd_nominal,future_ds_interest_amount_usd_nominal,received_amount_usd_nominal,irtc_amount_usd_nominal,untied_amount_usd_nominal,tied_amount_usd_nominal,partial_tied_amount_usd_nominal,finance_t,arrears_interest_amount_usd_nominal,arrears_principal_amount_usd_nominal,initial_report,ftc,repay_type,outstanding_amount_usd_nominal,interest_amount_usd_nominal,expert_commitment_amount_usd_nominal,export_credit_amount_usd_nominal,expert_extended_amount_usd_nominal,additional_info,source,source_detail
54892070,26733688,2005,United Nations Children`s Fund (UNICEF),,Multilaterals,,,4,Belarus,BY,Europe,,,1/1/2005,,,CHILD RIGHTS LEGAL AND POLICY ADMINISTRATIVE REFORM,CHILD RIGHTS LEGAL AND POLICY ADMINISTRATIVE REFORM,,,50106,151,"Government and civil society, general",15150,Strengthening civil society,43082.01,Research/scientific institutions activities,ODA Grants,151,I.5.a. Government & Civil Society-general,15160,Human rights,15150,Strengthening civil society,282510,0,,,,,,,2,,,,0,0,0,0,0,0,0,,0,0,1,,,0,0,0,0,0,,Previous Aid Flows,CRS_ONLINE_MAY2011
54948721,25847096,2005,United States,US,North & Central America,Donor Government/Extending Agency,STATE,1,Belarus,BY,Europe,,,1/1/2005,,,Agricultural Management,AGRICULTURAL MANAGEMENT,Agricultural Management: To participate in a Agricultural Management program,06SIP00042,2005003670,311,Agriculture,31110,Agricultural policy and administrative management,31110.01,"Agricultural policy and administrative management, activity unspecified or does not fit elsewhere in group",ODA Grants,311,III.1.a. Agriculture,31110,Agricultural policy & admin. mgmt,31110,Agricultural policy and administrative management,9069,0,,,,,0,,,10000,,,0,0,0,0,0,8000,0,,0,0,3,1,,0,0,0,0,0,,Previous Aid Flows,CRS_ONLINE_MAY2011
55027883,24252198,2005,Italy,IT,Europe,,LA,1,Belarus,BY,Europe,1/1/1900,1/1/1900,1/1/2005,,,O.L.G.A.   Vocational guidance Gorodeja - Asti,SECTORS NOT SPECIFIED,The project aims at supporting in Belarus the modernisation process of professional training systems in order to improve the access to the labour market for the young people. hosted in the Internat in Gorodeja. The activities have the goal to provide the young people living in Gorodeja orphanage vocational tools which can help them to choose their training path.,2,2005002966,998,Unallocated/  unspecified,99810,Sectors not specified,31120.01,"Agricultural development, activity unspecified or does not fit elsewhere in group",ODA Grants,998,XII. Unallocated / Unspecified,99810,Sectors not specified,99810,Sectors not specified,33590,0,,,,0,0,,1,,,,0,0,0,0,0,0,0,,0,0,1,1,0,0,0,0,0,0,,Previous Aid Flows,CRS_ONLINE_MAY2011
55030293,23805718,2005,France,FR,Europe,,MAE,1,Belarus,BY,Europe,,,1/1/2005,,,ACCORD GOUVERNEMENTAL DANS LES DOMAINES DE LA JEUNESSE ET DES SPORTS.,ACCORD GOUVERNEMENTAL DANS LES DOMAINES DE LA JEUNESSE ET DES SPORTS.,ACCORD GOUVERNEMENTAL DANS LES DOMAINES DE LA JEUNESSE ET DES SPORTS.,BIE-2B3-018,54232,160,Other social infrastructure and services,16010,Social/ welfare services,15140.01|16010.05|16010.07,"Government administration, activity unspecified or does not fit elsewhere in group |Support for vulnerable groups|Culture and recreation",ODA Grants,160,I.6. Other Social Infrastructure & Services,16061,Culture and recreation,16010,Social/ welfare services,7922,0,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,1,1,,0,0,0,0,0,,Previous Aid Flows,CRS_ONLINE_MAY2011
55056681,33507915,2007,United States,US,North & Central America,NATIONAL NGOs,STATE,1,Ukraine,UA,Europe,1/1/2007,31/12/2007,1/1/2007,,,National Endowment for Democracy Grant to Opora,STRENGTHENING CIVIL SOCIETY,To conduct a training program in running civic campaigns for 30 NGO activists from Belarus Russia and Ukraine. Concurrent with the training program Opora will run a mini-grants competition on civic campaigns during which the trainees will either implement or evaluate campaigns. The program will conclude with a master class on civic campaigns with trainees from Serbia Georgia and Poland.,NED05199,2007026320,151,"Government and civil society, general",15150,Strengthening civil society,92030.01|15150.05|15150.08|11120.06,"All support to local and regional NGOs activities|Other participatory planning and decision making procedures and institutions|Free flow of information|Colloquia, seminars, lectures, etc.",ODA Grants,151,I.5.a. Government & Civil Society-general,15150,Democratic participation and civil society,15150,Strengthening civil society,32014,0,,,,,0,,2,22000,,,0,0,0,0,30000,0,0,,0,0,1,,,0,0,0,0,0,,Previous Aid Flows,CRS_ONLINE_MAY2011
55100035,34755059,2007,United Nations Children`s Fund (UNICEF),,Multilaterals,,,4,Belarus,BY,Europe,,,1/1/2007,,,4212. Children with disabilities,CHILDREN WITH DISABILITIES,Children with disabilities,,2007008894,160,Other social infrastructure and services,16010,Social/ welfare services,16010.05,Support for vulnerable groups,ODA Grants,160,I.6. Other Social Infrastructure & Services,16010,Social/welfare services,16010,Social/ welfare services,418,0,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,1,,,0,0,0,0,0,,Previous Aid Flows,CRS_ONLINE_MAY2011
55114593,27817771,2006,Germany,DE,Europe,Public sector,BMZ,1,Belarus,BY,Europe,,,1/1/2006,,,Integrated Experts,INTEGRATED EXPERTS,Integrated Experts,ST0619031,2006002669,998,Unallocated/  unspecified,99810,Sectors not specified,99810.01,All other activities when sector is not specified,ODA Grants,250,II.5. Business & Other Services,25010,Business support services & institutions,99810,Sectors not specified,85851,0,,,,,,,,10000,,,0,0,0,0,0,0,0,,0,0,1,1,,0,0,0,0,0,,Previous Aid Flows,CRS_ONLINE_MAY2011
55304874,34756024,2007,United Nations Children`s Fund (UNICEF),,Multilaterals,,,4,Belarus,BY,Europe,,,1/1/2007,,,4114. Protection of children affected by HIV/AIDS,PROTECTION OF CHILDREN AFFECTED BY HIV/AIDS,Protection of children affected by HIV/AIDS,,2007004330,160,Other social infrastructure and services,16010,Social/ welfare services,15230.01,UN post-conflict peace-building activities,ODA Grants,160,I.6. Other Social Infrastructure & Services,16064,Social mitigation of hiv/aids,16010,Social/ welfare services,13554,0,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,1,,,0,0,0,0,0,,Previous Aid Flows,CRS_ONLINE_MAY2011
55350206,33511828,2007,United States,US,North & Central America,PUBLIC SECTOR (donor recipient other),STATE,1,Belarus,BY,Europe,1/1/2007,31/12/2007,1/1/2007,,,FSA Reimbursement of two spkr programs,MULTISECTOR EDUCATION/TRAINING,FSA Reimbursement of two spkr programs,SIP00193,2007026776,430,Other,43081,Multisector education/training,15120.01|60010.01,"Public sector financial management, activity unspecified or does not fit elsewhere in group|Actions relating to debt, activity unspecified or does not fit elsewhere in group",ODA Grants,430,IV.2. Other Multisector,43081,Multisector education/training,43081,Multisector education/training,14032,0,,,,,0,,,10000,,,0,0,0,0,0,13149,0,,0,0,1,1,,0,0,0,0,0,,Previous Aid Flows,CRS_ONLINE_MAY2011
55374813,36279932,2008,Norway,NO,Europe,OSCE - Organization for Security and Cooperation in Europe,MFA,1,Belarus,BY,Europe,17/11/2008,31/12/2008,1/1/2008,,,Criminal activities across the state border of the republic of Belaruse,SECURITY SYSTEM MANAGEMENT AND REFORM,"The overall goal of the project is to assist, upon the request of the Government of the Republic of Belarus and the State Border Patrol Troops Committee of the Republic of Belarus (SBPTC), in further strengthening the state border security and cross-border crime prevention capabilities. It should be noted that the present-day migration situation demands further coordination of the activities of the international community, and the European countries, in particular, in terms of the implementation of actions on effective illegal migration counteraction, the decrease of migration tension in concrete countries and the European continent in general.",GLO-08/219,2008002955,152,"Conflict prevention and resolution, peace and security",15210,Security system management and reform,15210.02,Other security assistance,ODA Grants,152,"I.5.b. Conflict, Peace & Security",15210,Security system management and reform,15210,Security system management and reform,45313,0,,0,0,0,0,,2,47000,,,0,0,0,0,42051.4078461,0,0,,0,0,1,,,0,0,0,0,0,,Previous Aid Flows,CRS_ONLINE_MAY2011
