iser_id,Регистрация
370564, 20.10.11
753053, 18.10.15
788702, 05.08.16
806357, 10.01.17
175185, 08.06.09
602822, 18.01.14
807568, 20.01.17
807778, 22.01.17
799759, 11.11.16
120547, 25.08.08
181692, 09.07.09
36518, 30.11.05
796648, 15.10.16
718795, 22.02.15
605207, 29.01.14
114505, 02.07.08
242734, 01.04.10
818105, 07.04.17
829077, 08.08.17
581741, 11.10.13
814547, 13.03.17
779052, 02.05.16
514763, 25.01.13
98463, 03.03.08
746243, 01.09.15
817166, 28.03.17
5171, 24.11.03
546985, 21.05.13
524331, 26.02.13
161753, 03.04.09
829535, 12.08.17
748167, 16.09.15
788765, 06.08.16
557593, 03.07.13
652169, 20.07.14
6941, 29.01.04
735164, 05.06.15
183944, 20.07.09
121718, 02.09.08
742028, 01.08.15
351726, 18.08.11
11392, 07.06.04
517905, 06.02.13
45217, 31.03.06
565816, 06.08.13
371870, 25.10.11
256524, 04.06.10
801853, 29.11.16
226002, 19.01.10
85143, 19.12.07
840701, 23.11.17
372608, 27.10.11
108456, 16.05.08
795870, 09.10.16
446146, 02.06.12
776576, 10.04.16
826711, 18.07.17
239726, 18.03.10
300157, 28.12.10
765411, 25.01.16
838743, 02.11.17
102563, 28.03.08
760376, 16.12.15
478165, 27.09.12
531110, 18.03.13
794648, 29.09.16
666292, 10.09.14
111221, 04.06.08
533830, 27.03.13
732635, 14.05.15
81011, 26.11.07
759938, 12.12.15
675963, 24.10.14
658106, 12.08.14
834148, 21.09.17
286993, 11.11.10
333978, 01.01.70
823399, 13.06.17
15665, 15.10.04
43481, 20.03.06
265666, 20.07.10
436360, 04.05.12
412673, 04.03.12
755888, 12.11.15
820315, 05.05.17
757640, 25.11.15
535297, 02.04.13
761470, 25.12.15
379008, 19.11.11
814790, 15.03.17
818191, 08.04.17
724497, 25.03.15
309326, 18.02.11
526711, 06.03.13
486642, 27.10.12
260263, 23.06.10
818093, 07.04.17
14221, 04.09.04
33858, 14.10.05
309152, 17.02.11
145811, 23.01.09
85693, 22.12.07
339269, 02.07.11
80998, 26.11.07
533360, 25.03.13
323548, 01.05.11
428782, 12.04.12
800012, 14.11.16
575296, 13.09.13
834100, 21.09.17
822142, 29.05.17
728258, 15.04.15
57299, 09.11.06
636588, 17.05.14
804701, 24.12.16
617541, 17.03.14
754875, 04.11.15
797406, 21.10.16
768200, 10.02.16
251530, 12.05.10
765742, 27.01.16
509306, 09.01.13
799400, 08.11.16
653323, 24.07.14
391387, 02.01.12
23924, 28.04.05
115274, 07.07.08
528415, 12.03.13
756420, 16.11.15
262964, 05.07.10
176833, 16.06.09
480920, 07.10.12
817709, 04.04.17
212454, 24.11.09
183535, 17.07.09
446765, 04.06.12
309148, 17.02.11
772773, 11.03.16
83721, 11.12.07
543278, 04.05.13
819513, 24.04.17
769609, 17.02.16
103610, 05.04.08
429682, 13.04.12
724778, 26.03.15
805434, 31.12.16
669907, 27.09.14
95950, 17.02.08
124448, 22.09.08
775984, 05.04.16
585182, 28.10.13
89786, 11.01.08
713992, 02.02.15
507560, 05.01.13
173415, 01.06.09
300743, 02.01.11
557292, 02.07.13
7661, 24.02.04
313150, 12.03.11
282252, 18.10.10
381206, 26.11.11
792923, 12.09.16
786988, 19.07.16
770149, 20.02.16
75523, 12.09.07
306554, 02.02.11
752963, 17.10.15
31926, 05.09.05
810564, 13.02.17
798200, 27.10.16
609662, 18.02.14
789906, 17.08.16
217643, 14.12.09
274092, 04.09.10
251093, 10.05.10
391203, 01.01.12
816762, 26.03.17
279177, 01.10.10
790271, 19.08.16
815737, 21.03.17
462976, 04.08.12
764161, 17.01.16
804424, 22.12.16
759940, 12.12.15
189849, 17.08.09
809768, 08.02.17
781455, 25.05.16
139227, 30.12.08
555488, 25.06.13
535075, 01.04.13
494164, 22.11.12
282955, 21.10.10
768947, 14.02.16
762904, 09.01.16
585032, 27.10.13
471346, 04.09.12
537421, 10.04.13
21733, 16.03.05
812906, 01.03.17
763623, 14.01.16
42951, 17.03.06
398132, 27.01.12
346473, 28.07.11
63099, 12.02.07
805172, 28.12.16
278050, 25.09.10
462034, 01.08.12
821323, 19.05.17
574522, 10.09.13
757166, 22.11.15
820327, 06.05.17
66640, 12.04.07
747335, 09.09.15
822986, 08.06.17
818319, 10.04.17
812909, 01.03.17
345447, 24.07.11
835609, 04.10.17
5336, 01.12.03
591954, 28.11.13
296103, 18.12.10
565320, 04.08.13
818135, 07.04.17
339655, 03.07.11
449990, 15.06.12
813377, 06.03.17
744664, 21.08.15
491853, 15.11.12
818196, 08.04.17
39748, 02.02.06
351546, 17.08.11
281380, 12.10.10
451589, 21.06.12
452325, 24.06.12
770208, 21.02.16
714455, 05.02.15
536670, 06.04.13
404410, 14.02.12
32208, 11.09.05
368571, 14.10.11
513296, 20.01.13
769107, 15.02.16
30158, 03.08.05
33389, 04.10.05
588334, 11.11.13
142584, 10.01.09
780500, 16.05.16
756943, 20.11.15
208849, 11.11.09
481769, 10.10.12
807083, 16.01.17
